Copyright (c) 2007 <<Your Company Name here>>
AB - TBLREL_USER_GROUP Table Monitoring
Print date:
2020-02-27T08:00:31
Description:
Clinton Fung requested report
Filter by:
Rules = Monitor_Specific_Tables; DBMSs IN NpwGsdSql1\SQL01( NpwGsdSql1.africanbank.net) \  NpwGspSql1\SQL01( NpwGspSql1.africanbank.net) \  NpwGsuSql1\SQL01( NpwGsuSql1.africanbank.net) \  NpwGsuSql2\SQL01( NpwGsuSql2.africanbank.net); Execution Time IN Last 24 Hours

Alert ID, DBMS, Execution Time, Session Id, Executing User, IP, Hostname, SQL, Accessed Objects, Cmd Type, Logon Time
230859153000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:45, 1648, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGUSER = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:29:07
230859152000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:43, 1665, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859149000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:39, 1662, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGUSER = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:11
230859150000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:39, 1662, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:11
230859151000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:39, 1663, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859148000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:35, 1664, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGUSER = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859147000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:33, 1665, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859146000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:31, 1663, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGUSER = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859145000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:19, 1648, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:29:07
230859141000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:11, 1665, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859139000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:07, 1666, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:21
230859140000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:07, 1665, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859134000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:05, 1666, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGUSER = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:21
230859135000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:05, 1666, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:21
230859136000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:05, 1667, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:21
230859137000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:05, 1667, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:21
230859138000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:05, 1664, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859133000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:50:03, 1663, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:14
230859132000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:49:59, 1662, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGGROUP = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:30:11
230859129000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:49:53, 1649, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLREL_USER_GROUP WHERE IDTHINGUSER = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:29:23
230859120000, NpwGspSql1\SQL01( NpwGspSql1.africanbank.net), 2020-02-27T03:49:47, 1649, saguser, 10.130.124.236, nplgp4mw3.africanbank.net, (@P1 int)DELETE FROM TBLGROUP WHERE IDTHING = @P1, TBLREL_USER_GROUP(TABLE) Owner:wm82p4aomw.dbo \  TBLGROUP(TABLE) Owner:wm82p4aomw.dbo, DELETE, 2020-02-27T03:29:23
